,Sentences,Predicted Class,True Class,Probabilities
400,did not realize it wss book 1 of a series.....not into series books,negative,negative,"[0.7674388289451599, 0.2048240303993225, 0.027737265452742577]"
401,"Great characters, action adventure. Something for everyone.",positive,positive,"[0.014786028303205967, 0.06478993594646454, 0.9204239845275879]"
402,"Worthy of a Tom Clancy book-based movie, though Hunt for Red October remains my favorite.",neutral,positive,"[0.04606996476650238, 0.49805447459220886, 0.45587560534477234]"
403,This game is challenging and addicting I spend all of my free time playing it,positive,neutral,"[0.018830562010407448, 0.07370297610759735, 0.907466471195221]"
404,Didn't work always hung up my phone.,negative,negative,"[0.8780648112297058, 0.10857729613780975, 0.013357858173549175]"
405,"No complaints, fast arrival.",positive,positive,"[0.06165045127272606, 0.4591434895992279, 0.4792059659957886]"
406,The movie DID NOT PLAY!!!,negative,negative,"[0.9159516096115112, 0.059874214231967926, 0.024174245074391365]"
407,And I thought the original was creepy.,negative,neutral,"[0.6558657288551331, 0.3162356913089752, 0.027898557484149933]"
408,"Not bad. Would like a bigger board, opportunity to earn new boosters",neutral,neutral,"[0.045470818877220154, 0.6988641619682312, 0.2556650638580322]"
409,Not what I really wanted didn't fit my ear! But cost time and Money 2 send back!,negative,neutral,"[0.9148629307746887, 0.06989897042512894, 0.015238091349601746]"
410,"Got what I expected from David,another action packed adventure that held my interest. Good read",positive,positive,"[0.021854547783732414, 0.22616234421730042, 0.751983106136322]"
411,"Wait, these aren't prime anymore?!?!?!",negative,negative,"[0.890953779220581, 0.0772852897644043, 0.03176093474030495]"
412,If you like poetry you will enjoy this book and the Matched series.,positive,negative,"[0.018553003668785095, 0.07437945902347565, 0.9070675373077393]"
413,"Will not save my actual location, keeps defaulting to a different town.",negative,negative,"[0.9062545895576477, 0.07756507396697998, 0.016180358827114105]"
414,"I did not like this, very boring and I love S Bullock and G Clooney - sad I wasted my money",negative,negative,"[0.9144498705863953, 0.07164517790079117, 0.01390497200191021]"
415,Did not enjoy the book at all.,negative,negative,"[0.8636119961738586, 0.1224568635225296, 0.01393117941915989]"
416,This is a class 3 Movie for content and quality Its not well written and hard to follow along.,negative,negative,"[0.8699278235435486, 0.11604738235473633, 0.014024799689650536]"
417,How it all came together,positive,positive,"[0.04090350866317749, 0.1368165910243988, 0.8222799301147461]"
418,Fabulous as are all the books in this series!,positive,positive,"[0.01730712316930294, 0.04240037128329277, 0.940292477607727]"
419,Boring. Awful. Waste of time. At least it was free. In my humble opinion a real loser.,negative,negative,"[0.9219552278518677, 0.06432153284549713, 0.013723238371312618]"
420,Deleted this game as it would not connect to my friends who are playing this game thru Facebook.,negative,negative,"[0.9233613610267639, 0.05741111934185028, 0.01922745071351528]"
421,This version is superior to the American production.,negative,positive,"[0.5115321278572083, 0.4392755329608917, 0.04919238016009331]"
422,"Good game, nice to use to waste time",positive,neutral,"[0.030386675149202347, 0.4325699806213379, 0.5370433330535889]"
423,Some of it is good. Most of it is not.,neutral,neutral,"[0.05898851156234741, 0.8980454206466675, 0.042966078966856]"
424,This will not work on a Samsung Galaxy phone.  I had to buy a different cable.,negative,negative,"[0.9167994856834412, 0.06671462208032608, 0.016485873609781265]"
425,I enjoyed the whole entire book. I will pass it on to all the people I can. Thank you so much!!,positive,positive,"[0.017140278592705727, 0.03853858634829521, 0.9443211555480957]"
426,Works wonderful cannot understand what people write,positive,positive,"[0.023789264261722565, 0.07538913935422897, 0.9008215665817261]"
427,The Exodus story without GOD is just another movie!,negative,negative,"[0.40254223346710205, 0.2128630429506302, 0.38459473848342896]"
428,I enjoy playing this game but it takes forever to progress to the next level.,neutral,positive,"[0.052411191165447235, 0.5475196242332458, 0.4000692069530487]"
429,"I thought that it was ok, my wife liked it more that I did. I had hoped for something better.",neutral,neutral,"[0.10090386867523193, 0.8214598298072815, 0.07763638347387314]"
430,crashed all the time,negative,negative,"[0.8259760737419128, 0.1481105089187622, 0.0259134192019701]"
431,"This book is a bit heavy handed, however for my husband who is a CPA he really is enjoying it",neutral,neutral,"[0.04037899151444435, 0.6863757371902466, 0.273245245218277]"
432,The brat is back!,negative,positive,"[0.5244972109794617, 0.20537351071834564, 0.2701292932033539]"
433,Great adventure/mystery with mind_bending possibilities.,positive,positive,"[0.01441135909408331, 0.04900640249252319, 0.9365822076797485]"
434,It is so fun I love it so much it's made for little kids and big kids I love it!!!!!!,positive,positive,"[0.01755322702229023, 0.0350695438683033, 0.9473772644996643]"
435,Slightly better than a porn movie. Used the fast forward a lot. Wanted to see them go to jail.,neutral,negative,"[0.1742253303527832, 0.77325439453125, 0.05252024903893471]"
436,Glad I watched it but I may have to watch it again to see if I like it or hate it.,neutral,neutral,"[0.06867779046297073, 0.8432127237319946, 0.088109590113163]"
437,Exceptional!  Adults and children will enjoy.,positive,positive,"[0.01614665798842907, 0.04939913749694824, 0.9344541430473328]"
438,Decent weather application that looks like something HTC developed.,neutral,neutral,"[0.05292138084769249, 0.7377443909645081, 0.20933422446250916]"
439,"Decent movie, certainly not the greatest thing ever, but worth watching.",neutral,neutral,"[0.031595755368471146, 0.4846092164516449, 0.48379504680633545]"
440,Best love story ever!!!!!,positive,positive,"[0.02005474641919136, 0.03274191543459892, 0.9472033381462097]"
441,This was a gift.  it was in good condition when I received it,positive,positive,"[0.030324786901474, 0.19644863903522491, 0.7732265591621399]"
442,Pro features turned off,negative,negative,"[0.5563554763793945, 0.3939673900604248, 0.04967709258198738]"
443,actually with the new hifi dvd players you can do the same thing this one is doing.,neutral,neutral,"[0.10779432207345963, 0.6203582286834717, 0.2718474864959717]"
444,"Great story line, well written. Hope it becomes a movie!!",positive,positive,"[0.013948306441307068, 0.04611761122941971, 0.9399340748786926]"
445,"Some of their political views are good, some barbaric like aborting fetuses.  Shame on you guys!",negative,negative,"[0.7978100180625916, 0.17206494510173798, 0.030125008895993233]"
446,I can't name my character and I can't play I want a refund,negative,negative,"[0.9223259687423706, 0.0578966960310936, 0.01977728307247162]"
447,Sucked. Tried 5 times<br /><br />1-25<br />2-40<br />3-34<br />4-27<br />5-42<br /><br />I'm only 11,negative,negative,"[0.8692220449447632, 0.11350847780704498, 0.017269505187869072]"
448,Use it love it,positive,positive,"[0.025279613211750984, 0.059033334255218506, 0.9156870245933533]"
449,the audio quality of the product is not what one would expect from a cd.,negative,negative,"[0.6767951846122742, 0.2993566691875458, 0.023848170414566994]"
450,Glad I didn't make a trip to the theater to see it.<br />Not much resemblance to biblical story.,neutral,negative,"[0.18844443559646606, 0.7721222639083862, 0.03943328559398651]"
451,"This game was good , not great. But I still liked this cool App. Good App, but not so great for me.",neutral,neutral,"[0.05746457353234291, 0.8677632212638855, 0.07477223873138428]"
452,It's an ok app.,neutral,neutral,"[0.23525743186473846, 0.7446296811103821, 0.02011287212371826]"
453,Great movie!!!  Out takes were great as well!!,positive,positive,"[0.016281360760331154, 0.03824999928474426, 0.9454686045646667]"
454,"One of my all time favorite groups.  I wore the last copy of this CD out, had to purchase another.",positive,positive,"[0.0831519067287445, 0.25869637727737427, 0.6581516861915588]"
455,Kind of ho-hum. Had to struggle to finish this one.,negative,neutral,"[0.5911837816238403, 0.38366711139678955, 0.025149162858724594]"
456,Not as fun as some of the others,neutral,neutral,"[0.2198762446641922, 0.7539790868759155, 0.02614457532763481]"
457,Had to see what everyone was talking about with the sequel hitting theaters.,neutral,negative,"[0.2740021347999573, 0.6076361536979675, 0.11836165189743042]"
458,Cannnot wait for the sequel 2016!!!,positive,positive,"[0.3193235397338867, 0.16046155989170074, 0.520214855670929]"
459,So easy to use. Great to be able to watch Netflix ont the big screen and the sound is perfect.,positive,positive,"[0.015977345407009125, 0.06659264117479324, 0.91743004322052]"
460,"Loved their harmony, one of the best harmony groups in a long time.",positive,positive,"[0.01685025542974472, 0.06080348417162895, 0.9223462343215942]"
461,Did not work on the original Kindle Fire. If it is for a newer version it should say so.,negative,negative,"[0.916688859462738, 0.06841772794723511, 0.014893360435962677]"
462,Too many ads<br />Over all ok,negative,neutral,"[0.8496558666229248, 0.13411246240139008, 0.01623169519007206]"
463,really? good thing it was cheap.,neutral,neutral,"[0.32798853516578674, 0.6400323510169983, 0.03197908774018288]"
464,"Can't open. From the sounds of things, there's in app purchases on the paid app anyways",negative,negative,"[0.8778241872787476, 0.10797182470560074, 0.014203964732587337]"
465,This music still haunts me every time I hear it.,positive,positive,"[0.04688140004873276, 0.2592635750770569, 0.6938551068305969]"
466,"Music is good, but too much violence and male machismo.",negative,neutral,"[0.5193527936935425, 0.4590754508972168, 0.02157178521156311]"
467,Excellent movie!!!! Especially baby Groot.  Can't wait for the sequel.,positive,positive,"[0.014438052661716938, 0.04760507121682167, 0.9379568696022034]"
468,Lots of twist and turns.  Read in two days.  Going to see movie soon.,positive,positive,"[0.025085177272558212, 0.1702541559934616, 0.8046606183052063]"
469,"its alright I guess. not a wholt lot of winning hands to play, but I like the tap feature. like.",neutral,neutral,"[0.04425491392612457, 0.8871055245399475, 0.06863965839147568]"
470,"I'm both a Damon and Hoffman fan, but this movie is not one of my favorites.",neutral,neutral,"[0.3384156823158264, 0.6171155571937561, 0.04446878284215927]"
471,Pretty good read; it went like a newspaper reporter's story that the editor let &#34;go for it&#34;.,positive,positive,"[0.03294863551855087, 0.4663848578929901, 0.5006665587425232]"
472,It starts off very easy. The higher you get in the levels the harder it becomes. So stick with it.,neutral,neutral,"[0.0843748226761818, 0.7228666543960571, 0.1927585005760193]"
473,I like it and all but with the new update I can't tag people. Plz reply and ill give it 5 stars,neutral,neutral,"[0.07830885797739029, 0.46344467997550964, 0.45824646949768066]"
474,Had to uninstall it. Kept freezing up. Was very disappointed.,negative,negative,"[0.8575800657272339, 0.12741398811340332, 0.015005994588136673]"
475,Loved to hear in his own words what really went on over in Iraq from a soldiers point of view.,positive,positive,"[0.021419376134872437, 0.10067925602197647, 0.8779013156890869]"
476,"The story was kind of weird, and the end was a huge let down.",neutral,negative,"[0.44083842635154724, 0.5331077575683594, 0.0260537751019001]"
477,Beautiful prose and compelling characters make this a &#34;Must read!&#34;,positive,positive,"[0.016184817999601364, 0.04494104161858559, 0.9388741850852966]"
478,Never have figured this one out and help does not help.,negative,negative,"[0.8556464314460754, 0.12275430560112, 0.021599197760224342]"
479,topic not my favorite but Stephen does what he does very well,neutral,positive,"[0.0507625937461853, 0.6851022839546204, 0.2641351819038391]"
480,I think you should make it so we don't have to use real money. you need to update the game.,neutral,negative,"[0.10683932155370712, 0.6065436601638794, 0.28661707043647766]"
481,"Light fare, a little quirky premise but well played by convincing actors. Definitely entertaining!",neutral,positive,"[0.036032479256391525, 0.6732656955718994, 0.2907017171382904]"
482,"May be an enjoyable movie for some, but it was too long and endless to do a WWII project on.",neutral,negative,"[0.13425584137439728, 0.8347623944282532, 0.030981749296188354]"
483,Great Season but the price was WAY to MUCH for such a short season.,neutral,neutral,"[0.0625356063246727, 0.8708456754684448, 0.06661875545978546]"
484,I got everything except the graphic art book. Would like to get it too.,neutral,negative,"[0.06299561262130737, 0.6541222929954529, 0.28288203477859497]"
485,"This series continues to serve up fresh ideas, snappy dialog, and interesting episodes.",positive,positive,"[0.04194895178079605, 0.28527793288230896, 0.6727731823921204]"
486,"good way to pass time, gets harder with each level",neutral,positive,"[0.0403561033308506, 0.7291745543479919, 0.23046930134296417]"
487,Very slow and unbelievable story,negative,negative,"[0.8809964656829834, 0.09365595877170563, 0.025347579270601273]"
488,This was CD was dull. Jennufer Hudson has such a great voice but it didn't show here.,negative,negative,"[0.6697980165481567, 0.31586289405822754, 0.014339087530970573]"
489,Alittle slow starting but then it kicks in...FAST!!!,negative,positive,"[0.510884165763855, 0.4247432351112366, 0.06437258422374725]"
490,don't like the story,negative,negative,"[0.737729012966156, 0.24182292819023132, 0.020448097959160805]"
491,burned copy. movie plays fine.,negative,negative,"[0.6385706067085266, 0.3369859457015991, 0.024443451315164566]"
492,preposterous premise redeemed by likeable leads and cleverly twisty storylines.,neutral,neutral,"[0.13190288841724396, 0.5884475111961365, 0.27964961528778076]"
493,it is a dvd....and it works...so I dont know what else to say about a DVD. it is what it is,neutral,positive,"[0.34348806738853455, 0.4576335549354553, 0.19887834787368774]"
494,I love the headshots,positive,positive,"[0.02051975019276142, 0.06715875118970871, 0.9123214483261108]"
495,"This is a FUN games on the firetv, We have hours of fun. Its easy for all ages to use.",positive,neutral,"[0.018460646271705627, 0.1192067489027977, 0.8623326420783997]"
496,Not worth the effort to download it.,negative,negative,"[0.8466944098472595, 0.1399369239807129, 0.013368654996156693]"
497,I couldn't get past the excessive foul language and inappropriate scenes.,negative,negative,"[0.8870498538017273, 0.09352847933769226, 0.019421715289354324]"
498,Great if you like this sort of stuff.,positive,neutral,"[0.028122130781412125, 0.3055700361728668, 0.6663078665733337]"
499,Kind of informative and useful.,positive,neutral,"[0.026943422853946686, 0.2628907263278961, 0.710165798664093]"
500,"Good movie, but not small child appropriate. Kind of scary for younger children! Otherwise, not bad!",neutral,neutral,"[0.08055192232131958, 0.8739635348320007, 0.04548445716500282]"
501,Very short and not very much information included.  I was not impressed at all!,negative,negative,"[0.7442288994789124, 0.240192711353302, 0.015578472055494785]"
502,"I hate this game. I don't have a very good reason, just don't like it at all don't waste your time.",negative,negative,"[0.9097049832344055, 0.07105115801095963, 0.019243840128183365]"
503,"Deleted this, my kids do not like this at all!",negative,negative,"[0.9280885457992554, 0.05366688221693039, 0.018244601786136627]"
504,its free. not great. you get what you pay for. min min min min min min min mon mon word,neutral,negative,"[0.33890500664711, 0.6390698552131653, 0.02202513813972473]"
505,"His writing style is a little different; I enjoyed it, but the story line was a little weak.",neutral,neutral,"[0.08239955455064774, 0.8742594122886658, 0.043341055512428284]"
506,Minecraft is really fun. I like this app because of the villages.,positive,positive,"[0.024862580001354218, 0.17650999128818512, 0.7986273765563965]"
507,I really wish you had more time to play.It just makes no sense to play for a small amount of time.,negative,neutral,"[0.6550082564353943, 0.3204079568386078, 0.024583837017416954]"
508,"will be returned, wrong disc ordered",negative,neutral,"[0.8868448734283447, 0.08930988609790802, 0.02384531870484352]"
509,"poor story line, waste of time",negative,negative,"[0.9173016548156738, 0.06969621777534485, 0.013002189807593822]"
510,Good game to kill some time with.,neutral,neutral,"[0.03432349115610123, 0.5691946744918823, 0.39648178219795227]"
511,The buckles and the fabric securing them frayed and fell apart after about 2 weeks of use.,negative,negative,"[0.7880934476852417, 0.18881084024906158, 0.02309572324156761]"
512,Not up to the usual Dan Brown thriller. I am sorry I bought this book and would not recommend it.,negative,negative,"[0.6292282938957214, 0.3523801565170288, 0.018391558900475502]"
513,Cute but don't think I will use it. Too simplistic....,negative,neutral,"[0.7474862933158875, 0.23504182696342468, 0.017471900209784508]"
514,"I have forgotten what it was all about, but it had me hooked whilst reading it. AW",neutral,negative,"[0.13864128291606903, 0.6768928170204163, 0.18446587026119232]"
515,Same as title,neutral,neutral,"[0.20920398831367493, 0.5080855488777161, 0.2827104926109314]"
516,Great blu ray disc of the worst movie ever made.,negative,negative,"[0.8807275295257568, 0.0769512951374054, 0.042321205139160156]"
517,"Really good movie ,very good condition ,Thank you",positive,positive,"[0.017054546624422073, 0.07094326615333557, 0.9120022058486938]"
518,"Still good but, by far the weakest and least musical of their albums.",neutral,neutral,"[0.2078464925289154, 0.7566736340522766, 0.035479869693517685]"
519,Good weather app.,positive,positive,"[0.032195087522268295, 0.19923312962055206, 0.7685717344284058]"
520,incredible parallels between early 20th century and early 21st century,positive,positive,"[0.03909224271774292, 0.13420537114143372, 0.8267022967338562]"
521,"it is nice, easy and I still do not  take the time to open it since I got it, or to exercise hahha",neutral,neutral,"[0.034820519387722015, 0.4919425845146179, 0.4732368290424347]"
522,It requires too much access to the phone.,negative,negative,"[0.8397142887115479, 0.14342333376407623, 0.01686229184269905]"
523,"Absolutely nothing like the book, but okay if you accept that.",neutral,neutral,"[0.054154835641384125, 0.879000723361969, 0.06684453040361404]"
524,It does not have a go back button or hint button. Have played one on e-games that is much better.,negative,negative,"[0.6072458028793335, 0.3635503947734833, 0.02920377068221569]"
525,If you like the music on these CDs.,positive,negative,"[0.027341894805431366, 0.18916252255439758, 0.7834955453872681]"
526,My boys liked it well enough. It's a little slow and gets a little boring. Nothing too special.,neutral,neutral,"[0.0847923532128334, 0.8882620930671692, 0.026945538818836212]"
527,"0 Stars if possible, would not even load on the phone.  -JUNK",negative,negative,"[0.9233272075653076, 0.06082804128527641, 0.015844672918319702]"
528,This is not worth the time unless you want to spend a lot of money for upgrading your car. I don't.,negative,negative,"[0.9034659266471863, 0.08068566024303436, 0.015848420560359955]"
529,Limited number of free puzzles.,negative,negative,"[0.5178265571594238, 0.4567161798477173, 0.025457238778471947]"
530,"This app is amazing, but now I have to be near Wi-Fi to get energy.",neutral,positive,"[0.08481847494840622, 0.6141939163208008, 0.30098757147789]"
531,Great Read!!!. Not literature but a masterful mystery.,positive,positive,"[0.014383306726813316, 0.056957896798849106, 0.9286587834358215]"
532,When I try to open my mail I get the wait or close sign always. I do not like this app.,negative,negative,"[0.9048885107040405, 0.08191569894552231, 0.013195766136050224]"
533,I love this album! Still playing it after Christmas!,positive,positive,"[0.015105828642845154, 0.03680712357163429, 0.9480870962142944]"
534,weird from the beginning. I did not finish it.,negative,negative,"[0.7755424380302429, 0.20880605280399323, 0.01565154269337654]"
535,Idk highlight,negative,positive,"[0.48315128684043884, 0.34318608045578003, 0.17366261780261993]"
536,nothing but a money grab.,negative,negative,"[0.7959821820259094, 0.18467333912849426, 0.019344478845596313]"
537,I wouldn't watch it again.  I hope The woman in black 2 is going to be better.,negative,neutral,"[0.6004476547241211, 0.3450776934623718, 0.05447467789053917]"
538,Overall it was a bit more beat up than I expected but still use-able. Worth the price I paid for it.,neutral,neutral,"[0.04653795063495636, 0.859139084815979, 0.0943230614066124]"
539,I absolutely loved this book! I couldn't put it down!,positive,positive,"[0.021493224427103996, 0.03337262570858002, 0.945134162902832]"
540,Slow and long,negative,negative,"[0.6033475995063782, 0.3488655090332031, 0.047786906361579895]"
541,"it has some suspense & action , not one of his better movies .",neutral,neutral,"[0.0863383561372757, 0.8796290755271912, 0.03403259813785553]"
542,"Good,but you need to see all the series for character development.  Mostly a lot of fighting.",neutral,neutral,"[0.05714967101812363, 0.8976094126701355, 0.04524090513586998]"
543,It was pretty much just like the book. I can't wait for season 2!,neutral,positive,"[0.1150713711977005, 0.6278024315834045, 0.25712621212005615]"
544,this game is ok but the worlds. are small and it gets kinds boring but it is good for long car trips,neutral,neutral,"[0.07910672575235367, 0.8828351497650146, 0.038058072328567505]"
545,The recent bag I purchased had its seams come apart with 9th graders' books. Am surprised.,neutral,neutral,"[0.2940039038658142, 0.653342068195343, 0.052654020488262177]"
546,Interesting weird not grate not bad,neutral,neutral,"[0.06043514236807823, 0.7717545628547668, 0.16781018674373627]"
547,THERE ARE HACKERS IN THIS GAME,negative,negative,"[0.8456945419311523, 0.11911308020353317, 0.03519240394234657]"
548,The plot is predictable without character development.,neutral,negative,"[0.3720400333404541, 0.6034063696861267, 0.024553559720516205]"
549,I love this. book so much I think that it is the best book I ever read in<br /> my inter life,positive,positive,"[0.016840551048517227, 0.03765196353197098, 0.9455075263977051]"
550,A so-so movie. Nothing to write home about.,neutral,negative,"[0.38474467396736145, 0.5328341126441956, 0.08242125809192657]"
551,Someone should have read the Bible before making the story line.,neutral,negative,"[0.20493896305561066, 0.66753751039505, 0.1275235116481781]"
552,Very slow plot...I expected more excitement.,negative,negative,"[0.8200383186340332, 0.1646794080734253, 0.015282301232218742]"
553,Absolutely horrible.  The 1998 version slays this piece of c$%p.,negative,negative,"[0.9159178733825684, 0.06111866235733032, 0.02296346426010132]"
554,Was quite a thriller.,neutral,positive,"[0.06104326248168945, 0.7825823426246643, 0.15637442469596863]"
555,"Best series, intriguing characters!  Steve Buscemi wonderful! Love it.",positive,positive,"[0.015468761324882507, 0.04272155463695526, 0.9418096542358398]"
556,I love this game. It is the best game ever created.,positive,positive,"[0.016019534319639206, 0.037150636315345764, 0.9468297958374023]"
557,"Weakest one yet, in this Jack Reacher cloning experiment.",negative,negative,"[0.6609271764755249, 0.31092706322669983, 0.028145769611001015]"
558,I was a bit bummed about this movie. Not one of Robert Downey Jrs. best roles that he has played.,neutral,neutral,"[0.3050813376903534, 0.6691188216209412, 0.025799818336963654]"
559,Great book! Very exciting! It will keep you on the edge of your chair. I couldn't put it down. WOW!,positive,positive,"[0.016434304416179657, 0.039453789591789246, 0.9441118836402893]"
560,Loved the pace,positive,neutral,"[0.021222935989499092, 0.08832324296236038, 0.8904538750648499]"
561,They never get old...good on 'em.,neutral,positive,"[0.05289328098297119, 0.6844517588615417, 0.2626549303531647]"
562,Good movie. It kept me on the edge. Acting was good.,positive,positive,"[0.029947811737656593, 0.47772353887557983, 0.4923286736011505]"
563,OK... but predictable,neutral,neutral,"[0.08527185767889023, 0.8823539614677429, 0.03237418085336685]"
564,"Good, but not up to Demille standards",neutral,neutral,"[0.08250931650400162, 0.8805265426635742, 0.03696416690945625]"
565,Very good story and believable. I'm sure it could happen.,positive,positive,"[0.01641465723514557, 0.07961943000555038, 0.9039658904075623]"
566,Great classic story my child loves!,positive,positive,"[0.015324310399591923, 0.03373131901025772, 0.9509443044662476]"
567,fascinating journey,positive,positive,"[0.01871681399643421, 0.07734508067369461, 0.9039381146430969]"
568,An accident I choose it out of curiosty.,negative,negative,"[0.8452714085578918, 0.1401706486940384, 0.014557921327650547]"
569,lives lost too fast,negative,neutral,"[0.7662213444709778, 0.18661583960056305, 0.047162868082523346]"
570,I bought this for my grandson and was not happy with the quality. Didn't hold up to very much play.,negative,negative,"[0.8661379218101501, 0.12107013911008835, 0.01279198657721281]"
571,"good product as described, quick ship",positive,positive,"[0.022087784484028816, 0.16486701369285583, 0.8130452036857605]"
572,Good print to mobile but the controls are a little bit tricky to use after coming from a PC.,neutral,neutral,"[0.0571679063141346, 0.8987389206886292, 0.04409315437078476]"
573,Like playing Solitaire love the hint feature.,positive,positive,"[0.044332124292850494, 0.38325953483581543, 0.5724083781242371]"
574,Not as good as the first ...same for the second .... But a good effort by Peter Jackson,neutral,neutral,"[0.042650867253541946, 0.7446920275688171, 0.2126571089029312]"
575,perfect fit. had to tape it to keep it attached,positive,positive,"[0.06404098868370056, 0.28790897130966187, 0.6480500102043152]"
576,Beautiful book my son loves,positive,positive,"[0.017636341974139214, 0.04458638280630112, 0.9377772808074951]"
577,this game is awesome. if I could I would give it a million stars. totally get this app. and its free,positive,positive,"[0.018199319019913673, 0.05257493257522583, 0.9292258024215698]"
578,Didn't use it enough to commit that space to the app.,negative,negative,"[0.8957642316818237, 0.09108849614858627, 0.013147306628525257]"
579,"It's okay but after getting two other Temple Run games, I find this one just blah.",neutral,neutral,"[0.1307421326637268, 0.8436189889907837, 0.025638945400714874]"
580,This Movie should have been called NOT NOAH it was the worst!,negative,negative,"[0.9128345251083374, 0.06431321054697037, 0.022852320224046707]"
581,"Very disapointed , slow reading",negative,neutral,"[0.899657666683197, 0.08495258539915085, 0.01538973581045866]"
582,"If you're a super hero fan, this is for you!",positive,positive,"[0.024042097851634026, 0.04737526923418045, 0.9285826086997986]"
583,"Kept me on the edge of my seat, enjoyed it for what it was, which was just entertaining. I liked it.",positive,neutral,"[0.033431824296712875, 0.3076341152191162, 0.6589341163635254]"
584,"Fun to play, but the daily rewards are few and far unbeaten.",neutral,neutral,"[0.09644365310668945, 0.8500294089317322, 0.053526874631643295]"
585,love this game I get to do cheats,positive,positive,"[0.016224591061472893, 0.039475876837968826, 0.9442994594573975]"
586,It captured my attention but didn't think it was worth all the hype!,negative,neutral,"[0.5051732063293457, 0.451318621635437, 0.04350825026631355]"
587,"The game is awesome!! But takes forever to load! Idk why but if anybody knows, please tell me !!!!",positive,neutral,"[0.029907137155532837, 0.07185979932546616, 0.8982329964637756]"
588,Too many ads. Each game had a full page ad.,negative,negative,"[0.8818190693855286, 0.10207492858171463, 0.016106028109788895]"
589,came with instructions to replace broken case if it was broken.  IT WAS BROKEN!!! not good PR.,negative,neutral,"[0.8149725794792175, 0.1690462976694107, 0.01598113402724266]"
590,"Great book, very motivating, also came in great condition",positive,positive,"[0.018050435930490494, 0.06523219496011734, 0.9167174100875854]"
591,! Good but not great,neutral,neutral,"[0.09691505879163742, 0.7957437634468079, 0.10734120011329651]"
592,Not always plausible but great entertainment,positive,neutral,"[0.025082433596253395, 0.28102385997772217, 0.6938937306404114]"
593,"Nice colors, non intrusive music, free",positive,neutral,"[0.046142078936100006, 0.296282559633255, 0.6575753688812256]"
594,I love this movie. It holds up surprisingly well over time. I wish my bed had an enchanted bedknob.,positive,positive,"[0.016541138291358948, 0.08115124702453613, 0.9023076295852661]"
595,Not what I was really expecting,negative,negative,"[0.613744854927063, 0.3659611940383911, 0.020293960347771645]"
596,Very clear. No glitches. I would recommend this service!,positive,positive,"[0.028849134221673012, 0.11222396790981293, 0.8589268922805786]"
597,Best Bond film in years.,positive,positive,"[0.03206425905227661, 0.08082059770822525, 0.8871151804924011]"
598,Very entertaining and intriguing.,positive,neutral,"[0.016246911138296127, 0.0659676194190979, 0.9177854657173157]"
599,It's my birthday and I've been waiting to get this game ):,positive,negative,"[0.04810342937707901, 0.11742787808179855, 0.8344686627388]"
600,I enjoy previous CD's a bit more. This one is okay.,neutral,neutral,"[0.03355143964290619, 0.7854958772659302, 0.18095262348651886]"
601,Recommended by a friend...not disappointed.,neutral,positive,"[0.050004154443740845, 0.6209861636161804, 0.3290097713470459]"
602,I wanted to stream ESPN games from the website to the TV and this won't do that. I am disappointed.,negative,negative,"[0.8828495740890503, 0.10102326422929764, 0.016127148643136024]"
603,"I give three stars for only three listenable songs, Voyageur, Boum Boum, Page of Cups..........",negative,neutral,"[0.6439499855041504, 0.2623414397239685, 0.09370850771665573]"
604,Always a good story. Read to mo my children and now my grandchildren.  A classic.,positive,positive,"[0.014524976722896099, 0.06084736809134483, 0.9246277213096619]"
605,Difficult. Frogger rip-off.,negative,neutral,"[0.78223717212677, 0.1996840238571167, 0.018078813329339027]"
606,im not able to have the same features on mobile phones and cant download some apps on it,negative,negative,"[0.900286853313446, 0.08524271100759506, 0.014470485039055347]"
607,I think this game stinks because the way you move is horrible I think you should play the demo first,negative,negative,"[0.8979739546775818, 0.08563500642776489, 0.01639104261994362]"
608,Better games out there,neutral,neutral,"[0.1065022349357605, 0.6779274940490723, 0.21557024121284485]"
609,Everyone loved listening to this on Christmas day.  Beautiful vocals and haunting harmonies.,positive,positive,"[0.016990801319479942, 0.0462767668068409, 0.9367324709892273]"
610,It's fine I only rate cuz in have to,neutral,negative,"[0.09584695100784302, 0.8564438223838806, 0.04770916327834129]"
611,good story but not equal to all the hyp,neutral,neutral,"[0.05060689523816109, 0.8653944134712219, 0.0839986726641655]"
612,Wont log out,negative,neutral,"[0.656568706035614, 0.2994292080402374, 0.04400210827589035]"
613,don't remember this one,negative,neutral,"[0.8034065365791321, 0.1459806114435196, 0.05061284080147743]"
614,"Was expecting more, and did not like the ending.",negative,neutral,"[0.6472510099411011, 0.3344544768333435, 0.018294503912329674]"
615,The UI isn't as appealing as it should be and you can do this on your desktop.,negative,negative,"[0.5574126243591309, 0.4249400496482849, 0.01764734275639057]"
616,I felt that the writer has an interesting style which held my interestp,positive,neutral,"[0.0489329919219017, 0.36747756600379944, 0.5835893750190735]"
617,You can get the same information all over the internet.,neutral,negative,"[0.1216135025024414, 0.4600391983985901, 0.4183472692966461]"
618,"Don't like it,going to uninstall it",negative,negative,"[0.8919999003410339, 0.09210562705993652, 0.01589449867606163]"
619,"Premise was okay, but I din't particularly care for this one.",neutral,neutral,"[0.1102285385131836, 0.8625929951667786, 0.027178412303328514]"
620,This was an awesome documentary film,positive,positive,"[0.017572732642292976, 0.04934486746788025, 0.9330824613571167]"
